ES,Point(-3.5 40.2)
ET,Point(40.0 9.0)
FI,Point(27.0 65.0)
FJ,Point(178.0 -18.0)
FK,Point(-59.22 -51.73)
FM,Point(158.183333333 6.916666666)
FO,Point(-6.844480555 61.969944444)
FR,Point(2.0 47.0)
GA,Point(11.5 -0.683330555)
GB,Point(-2.0 54.6)
GD,Point(-61.666667 12.116667)
GE,Point(43.733330555 42.016669444)
GF,Point(-52.99994 3.99886)
GG,Point(-2.583333333 49.45)
GH,Point(-0.5 8.0)
GI,Point(-5.345361111 36.13775)
GL,Point(-40.0 72.0)
GM,Point(-15.5 13.5)
GN,Point(-11.0 10.0)
GP,Point(-61.583333333 16.25)
GQ,Point(10.0 1.5)
GR,Point(23.0 38.5)
GS,Point(-36.75 -54.25)
GT,Point(-90.25 15.5)
GU,Point(144.8 13.5)
GW,Point(-15.0 12.0)
GY,Point(-59.316667 5.733333)
HK,Point(114.158611111 22.278333333)
HM,Point(73.517 -53.093527777)
HN,Point(-86.816667 14.633333)
HR,Point(15.466667 45.25)
HT,Point(-72.8 19.0)
HU,Point(19.0 47.0)
ID,Point(118.0 -2.0)
IE,Point(-8.0 53.0)
IL,Point(35.0 31.0)
IM,Point(-4.525 54.235)
IN,Point(83.0 22.8)
IO,Point(71.5 -6.0)
IQ,Point(43.0 33.0)
IR,Point(53.0 32.0)
IS,Point(-19.0 65.0)
IT,Point(12.5 42.5)
JE,Point(-2.11 49.19)
JM,Point(-77.4 18.18)
JO,Point(36.5 31.2)
JP,Point(136.0 35.0)
KE,Point(38.0 0.1)
KG,Point(75.0 41.0)
KH,Point(105.0 12.6)
KI,Point(173.033333333 1.466666666)
KM,Point(44.44553 -12.23333)
KN,Point(-62.666669444 17.271666666)
KP,Point(127.0 40.0)
KR,Point(128.0 36.0)
KW,Point(47.6 29.166667)
KY,Point(-80.5 19.5)
KZ,Point(68.0 48.0)
LA,Point(104.1 18.2)
LB,Point(35.766667 33.833333)
LC,Point(-60.966666666 13.883333333)
LI,Point(9.553889 47.145)
LK,Point(81.0 7.0)
LR,Point(-9.75 6.533333)
LS,Point(28.25 -29.55)
LT,Point(24.0 55.2)
LU,Point(6.13 49.77)
LV,Point(25.0 57.0)
LY,Point(17.0 27.0)
MA,Point(-6.0 32.0)
MC,Point(7.42 43.731111111)
MD,Point(28.516667 47.25)
ME,Point(19.216667 42.766667)
MF,Point(-63.06 18.075277777)
MG,Point(47.0 -20.0)
MH,Point(169.29 9.82)
MK,Point(21.716667 41.65)
ML,Point(-4.0 17.0)
MM,Point(96.0 22.0)
MN,Point(104.0 47.0)
MO,Point(113.55 22.166666666)
MP,Point(145.78 16.705)
MQ,Point(-61.015 14.65)
MR,Point(-11.0 21.0)
MS,Point(-62.2 16.75)
MT,Point(14.5 35.883333333)
MU,Point(57.5 -20.2)
MV,Point(73.51 4.18)
MW,Point(34.0 -13.0)
MX,Point(-102.0 23.0)
MY,Point(102.314361666 3.7805111)
MZ,Point(35.0 -19.0)
NA,Point(17.0 -23.0)
NC,Point(165.3 -21.25)
NE,Point(10.0 17.0)
NF,Point(167.949722222 -29.033333333)
NG,Point(8.0 9.0)
NI,Point(-85.0 13.0)
NL,Point(5.55 52.316666666)
NL,Point(4.883333333 52.366666666)
NO,Point(11.0 65.0)
NP,Point(84.0 28.0)
NR,Point(166.933333333 -0.533333333)
NU,Point(-169.916666666 -19.05)
NZ,Point(174.0 -41.2)
OM,Point(57.0 21.0)
PA,Point(-80.366667 8.616667)
PE,Point(-76.0 -9.4)
PF,Point(-149.566666666 -17.533333333)
PG,Point(147.0 -6.3)
PH,Point(123.0 12.0)
PK,Point(71.0 30.0)
PL,Point(19.0 52.0)
PM,Point(-56.275 46.825)
PN,Point(-130.1045778 -25.0677812)
PR,Point(-66.5 18.25)
PS,Point(35.25 32.0)
PT,Point(-9.183333333 38.7)
PW,Point(134.55 7.466667)
PY,Point(-58.0 -23.5)
QA,Point(51.212767 25.269535)
RE,Point(55.5325 -21.114444444)
RO,Point(25.0 46.0)
RS,Point(20.933333333 43.95)
RU,Point(94.25 66.416666666)
RW,Point(29.873888888 -1.940277777)
SA,Point(44.116667 23.716667)
SB,Point(159.816666666 -9.466666666)
SC,Point(52.766667 -7.1)
SD,Point(32.0 15.0)
SE,Point(15.0 61.0)
SG,Point(103.8 1.3)
SH,Point(-5.7181 -15.9245)
SI,Point(15.0 46.0)
SJ,Point(21.9939078 78.6351661)
SK,Point(20.0 49.0)
SL,Point(-12.1 8.5)
SM,Point(12.466666666 43.933333333)
SN,Point(-14.283333 14.366667)
SO,Point(47.0 6.0)
SR,Point(-56.0 4.0)
SS,Point(30.0 7.0)
ST,Point(6.6 0.316667)
SV,Point(-88.866111 13.668889)
SX,Point(-63.067777777 18.031944444)
SY,Point(38.583333 35.216667)
SZ,Point(31.433333 -26.483333)
TC,Point(-71.8 21.78)
TD,Point(19.4 15.466667)
TF,Point(67.0 -43.0)
TG,Point(1.183333 8.25)
TH,Point(101.0 14.0)
TJ,Point(71.366667 38.583333)
TK,Point(-171.833333333 -9.166666666)
TL,Point(125.75 -8.966667)
TM,Point(60.0 39.0)
TN,Point(10.0 34.0)
TO,Point(-174.810278 -20.587778)
TR,Point(36.0 39.0)
TT,Point(-61.516666666 10.666666666)
TV,Point(178.005556 -7.475)
TW,Point(121.0 24.0)
TZ,Point(34.853888888 -6.306944444)
UA,Point(32.0 49.0)
UG,Point(32.39 1.28)
UM,Point(166.633333 19.3)
US,Point(-98.5795 39.828175)
UY,Point(-56.0 -33.0)
UZ,Point(66.0 41.0)
VA,Point(12.453 41.904)
VC,Point(-61.233333333 12.9)
VE,Point(-67.0 8.0)
VG,Point(-64.54 18.445)
VI,Point(-64.833333 18.333333)
VN,Point(108.0 16.0)
VU,Point(168.016669444 -16.633330555)
WF,Point(-178.10932 -14.30181)
WS,Point(-172.2175 -13.745)
XK,Point(20.833333333 42.55)
YE,Point(48.0 15.5)
YT,Point(45.138333333 -12.843055555)
YU,Point(20.462222222 44.820555555)
ZA,Point(24.0 -29.0)
ZM,Point(28.0 -14.0)
ZW,Point(30.0 -19.0)
